country,total_cases,new_cases,active_cases,total_deaths,new_deaths
Afghanistan,71156163,179242.0,9903666.0,3094865.0,7690.0
Albania,90116482,275572.0,7412581.0,1418680.0,3496.0
Algeria,102137312,265815.0,29762940.0,2844496.0,6875.0
Andorra,10758711,42155.0,509375.0,80172.0,153.0
Angola,29206397,99193.0,2264022.0,658512.0,1898.0
Anguilla,467367,2982.0,15776.0,1368.0,8.0
Antigua And Barbuda,1648447,7720.0,112719.0,37159.0,136.0
Argentina,2730257371,9101318.0,116720051.0,52798218.0,128728.0
Armenia,154646832,422895.0,8443240.0,3110491.0,8623.0
Aruba,9349166,35691.0,274740.0,75098.0,212.0
Australia,525291934,6551609.0,53123840.0,1301372.0,7773.0
Austria,664973853,4209155.0,44645538.0,6728763.0,18303.0
Azerbaijan,250038459,792637.0,10560186.0,3296689.0,9709.0
Bahamas,10482160,33870.0,1103491.0,250686.0,800.0
Bahrain,156924338,576992.0,5342122.0,612115.0,1479.0
Bangladesh,707039743,1952976.0,46899842.0,11324634.0,29126.0
Barbados,10256066,76259.0,954920.0,80376.0,432.0
Belarus,297002711,982866.0,0.0,2233004.0,6978.0
Belgium,929542883,4116396.0,124282461.0,15823062.0,31613.0
Belize,13974443,57895.0,834094.0,235613.0,675.0
Benin,8651048,26951.0,525685.0,70209.0,162.0
Bermuda,2672088,14133.0,172612.0,34974.0,133.0
Bhutan,3942342,59565.0,469788.0,1938.0,20.0
Bolivia,282040539,906081.0,30604883.0,9996827.0,21942.0
Bosnia And Herzegovina,129905525,377509.0,0.0,5544262.0,15777.0
Botswana,74866698,306321.0,2438579.0,850305.0,2689.0
Brazil,10868783066,30682093.0,552608376.0,283249148.0,664920.0
British Virgin Islands,1295492,6571.0,0.0,14177.0,61.0
Brunei Darussalam,12477537,144410.0,1273801.0,31777.0,219.0
Bulgaria,310424746,1161502.0,47872724.0,11609217.0,37044.0
Burkina Faso,8129692,20852.0,250257.0,129933.0,381.0
Burundi,8582865,41233.0,0.0,12270.0,37.0
Cabo Verde,19059725,56104.0,552662.0,159674.0,400.0
Cambodia,38255015,136261.0,1346023.0,830926.0,3056.0
Cameroon,46846138,119778.0,1996850.0,777204.0,1926.0
Canada,977307913,3821338.0,51522051.0,16290505.0,40228.0
Caribbean Netherlands,1655943,9913.0,80151.0,9713.0,34.0
Cayman Islands,3037517,23577.0,1519282.0,3978.0,27.0
Central African Republic,6132185,14648.0,2599524.0,58877.0,112.0
Chad,2955120,7413.0,383306.0,104731.0,191.0
